County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Gini.Coefficient,Teen.births,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,target
"Steuben County, Indiana",Indiana,10.6,89.4,18.9,7.1,74.9,"(25000.0, 30000.0]",25.55,15.15,25.9,1.2,8.5,23.75,92.75,0.5,0.4,0.4,3.05,20.8,7.45,33864,0.38299999999999995,40.1,0.217,0.327,0.129,173.4,58.3,0.17,0.08900000000000001,79.43,,51.6,,40.2,11.4,43.95044735030971
"Rush County, Indiana",Indiana,15.2,84.8,13.2,4.9,76.35,"(25000.0, 30000.0]",24.05,15.45,22.15,1.45,12.7,24.15,96.7,1.1,0.15,0.30000000000000004,0.75,20.95,9.8,17408,0.382,46.0,0.21899999999999997,0.324,0.113,202.5,33.2,0.162,0.079,74.56,,64.9,,39.5,12.15,52.21790962018298
"Stewart County, Georgia",Georgia,29.6,70.4,11.0,4.6,76.95,"(20000.0, 25000.0]",23.45,20.25,25.7,2.7,8.5,19.45,28.55,57.1,0.1,0.45,0.65,52.0,23.4,5348,0.44799999999999995,91.4,,0.34600000000000003,0.136,727.6,221.4,0.221,0.114,297.97,,,,62.7,23.85,-20.214320506575753
"Dallam County, Texas",Texas,28.2,71.8,8.4,2.3,67.7,"(15000.0, 20000.0]",18.8,16.35,20.5,6.05,15.7,22.6,58.65,1.8,0.75,0.45,1.3,14.8,12.7,6428,0.396,103.2,,0.28400000000000003,0.091,451.5,92.5,0.34600000000000003,0.039,237.07,,68.1,,48.8,12.5,67.49185667752442
"McMinn County, Tennessee",Tennessee,21.7,78.3,13.9,4.4,73.05,"(20000.0, 25000.0]",26.15,15.2,21.65,1.05,10.35,25.65,90.7,3.9,0.2,0.7000000000000001,1.75,28.75,12.75,52160,0.434,49.7,0.223,0.335,0.124,259.0,103.0,0.171,0.092,618.12,3.59,91.8,5.9,28.9,17.55,59.7303947790735
"Fannin County, Texas",Texas,17.6,82.4,14.7,4.3,73.6,"(20000.0, 25000.0]",26.5,17.15,22.2,1.5,15.2,17.5,81.65,7.05,0.75,0.4,1.65,30.9,10.4,33399,0.41700000000000004,57.4,0.271,0.321,0.10800000000000001,235.6,123.7,0.255,0.08600000000000001,146.04,4.26,81.7,,36.2,15.05,61.919478783828936
"Mathews County, Virginia",Virginia,15.5,84.5,20.6,9.3,69.5,"(30000.0, 40000.0]",29.65,10.7,23.35,2.8,15.85,17.65,86.95,9.45,0.45,0.45,1.4,12.95,4.55,8994,0.43,24.3,0.247,0.27399999999999997,0.13,111.6,,0.161,0.054000000000000006,66.38,,77.7,,24.6,7.7,36.88586545729404
"Guilford County, North Carolina",North Carolina,13.1,86.9,32.4,10.4,78.5,"(25000.0, 30000.0]",35.05,15.6,27.85,0.15,8.25,13.15,56.2,31.35,0.45,3.6,1.8,25.5,8.25,476223,0.474,32.4,0.16699999999999998,0.27399999999999997,0.10099999999999999,1028.3,461.9,0.188,0.098,504.57,7.19,60.0,9.4,46.3,15.65,-20.028006204207273
"Saginaw County, Michigan",Michigan,13.4,86.6,18.0,6.0,78.65,"(20000.0, 25000.0]",29.55,20.65,27.7,0.35000000000000003,7.35,14.35,71.1,18.25,0.30000000000000004,1.05,1.65,29.55,8.35,201491,0.442,40.2,0.191,0.397,0.115,778.0,122.2,0.12,0.08600000000000001,857.41,10.65,64.8,9.3,47.2,18.7,1.1401515955752757
"Palm Beach County, Florida",Florida,13.2,86.8,31.8,11.7,77.55,"(30000.0, 40000.0]",34.2,20.25,27.9,0.8,9.7,7.1,61.8,16.15,0.2,2.25,1.55,21.05,7.75,1294367,0.505,32.2,0.141,0.22399999999999998,0.095,272.8,672.8,0.254,0.08800000000000001,550.49,7.13,73.8,6.6,57.9,11.85,-15.31400488409777
"Grady County, Georgia",Georgia,25.9,74.1,10.1,3.7,74.1,"(20000.0, 25000.0]",26.15,13.1,28.35,3.55,14.0,14.9,59.95,28.35,0.75,0.30000000000000004,0.9,38.1,19.25,24906,0.484,82.0,0.264,0.32299999999999995,0.124,419.7,364.0,0.275,0.076,194.65,,71.2,9.7,40.0,24.0,33.112006095569825
"Douglas County, Wisconsin",Wisconsin,9.5,90.5,22.0,7.3,77.85,"(25000.0, 30000.0]",29.75,19.7,24.5,0.55,9.6,15.9,93.2,0.9,1.8,0.75,2.2,21.35,7.2,44056,0.425,30.1,0.233,0.297,0.085,297.0,49.6,0.11,0.064,173.08,,69.2,7.4,44.4,13.05,-7.595221996844714
"McCracken County, Kentucky",Kentucky,14.8,85.2,21.0,8.3,76.75,"(25000.0, 30000.0]",31.05,18.75,26.3,0.30000000000000004,9.35,14.15,84.7,10.45,0.2,0.7000000000000001,2.15,29.3,9.7,65312,0.473,53.4,0.22899999999999998,0.301,0.104,545.1,176.2,0.155,0.078,234.31,4.4,80.0,5.7,48.1,15.55,37.19562855499456
"Madison County, Kentucky",Kentucky,16.2,83.8,27.4,11.9,80.8,"(20000.0, 25000.0]",31.8,19.45,25.85,0.30000000000000004,8.5,14.1,91.15,3.65,0.2,0.9,2.3,27.0,7.85,82125,0.44299999999999995,29.2,0.21899999999999997,0.29600000000000004,0.106,357.5,84.6,0.173,0.067,202.37,3.2,61.6,3.9,44.1,19.25,31.170987786586675
"Sacramento County, California",California,14.9,85.1,27.8,8.9,77.7,"(30000.0, 40000.0]",36.95,17.6,27.65,0.30000000000000004,8.7,8.85,50.3,9.85,0.65,13.6,4.9,20.9,7.5,1397196,0.431,36.2,0.146,0.27699999999999997,0.092,649.7,272.4,0.162,0.106,586.95,6.98,58.2,5.7,47.9,13.55,-23.687238784580963
"Webster County, Kentucky",Kentucky,25.6,74.4,8.5,3.4,72.25,"(20000.0, 25000.0]",23.45,14.25,15.8,0.9,16.3,29.25,89.75,4.5,0.2,0.15,0.95,29.55,13.05,13725,0.41700000000000004,63.5,0.273,0.337,0.132,270.7,,0.185,0.077,44.2,,107.7,,25.0,16.5,54.384151593453936
"Pierce County, Wisconsin",Wisconsin,7.7,92.3,25.4,8.5,81.4,"(25000.0, 30000.0]",30.75,17.7,22.35,1.9,10.1,17.25,96.1,0.35000000000000003,0.35000000000000003,0.9,0.9,7.1,7.9,40363,0.395,9.1,0.14200000000000002,0.281,0.075,242.3,40.6,0.094,0.053,134.32,,55.3,,36.9,9.8,13.656408554222587
"Kings County, New York",New York,22.2,77.8,28.8,10.8,77.75,"(30000.0, 40000.0]",35.05,23.15,24.45,0.1,7.35,10.0,36.15,32.5,0.2,9.75,1.75,33.2,23.4,2521420,0.499,30.3,0.139,0.23199999999999998,0.102,794.5,1311.6,0.157,0.099,588.55,9.1,35.5,6.1,63.8,21.9,-61.82983940666894
"Marion County, Texas",Texas,23.1,76.9,11.2,4.9,70.15,"(20000.0, 25000.0]",19.1,18.8,23.95,1.95,14.45,21.75,72.0,21.25,0.55,0.55,2.5,33.75,19.25,10558,0.48700000000000004,59.3,0.363,0.317,0.133,323.6,188.7,0.26,0.079,439.89,,92.8,,7.9,21.3,43.08131241084163
"Chatham County, North Carolina",North Carolina,16.2,83.8,35.1,15.0,76.55,"(25000.0, 30000.0]",39.65,14.7,19.1,0.85,11.45,14.25,71.15,13.15,0.35000000000000003,1.5,1.25,18.55,7.75,62474,0.45899999999999996,42.4,0.204,0.257,0.098,238.3,182.5,0.192,0.07400000000000001,178.01,7.14,66.2,7.3,38.8,12.1,-10.084442169907888
"Pershing County, Nevada",Nevada,20.6,79.4,12.4,3.6,78.1,"(25000.0, 30000.0]",31.1,23.05,14.45,1.8,15.3,14.25,67.7,4.5,2.25,1.2,2.75,20.4,3.35,6541,0.379,51.6,0.263,0.293,0.08600000000000001,89.1,,0.272,0.103,541.42,,77.6,,38.1,12.95,49.091826437941464
"Fillmore County, Minnesota",Minnesota,13.3,86.7,19.3,5.6,73.9,"(25000.0, 30000.0]",32.85,16.6,20.3,3.2,11.7,15.35,97.8,0.2,0.25,0.25,0.6000000000000001,18.7,12.85,20916,0.412,19.8,0.16399999999999998,0.272,0.079,110.2,28.5,0.122,0.055,31.16,,85.8,,45.5,12.1,21.856778425655968
"Lyon County, Iowa",Iowa,14.1,85.9,15.9,3.7,74.7,"(25000.0, 30000.0]",32.45,15.2,21.75,4.25,7.55,18.8,97.65,0.15,0.1,0.30000000000000004,0.4,6.4,9.05,11427,0.35200000000000004,14.6,0.16899999999999998,0.30000000000000004,0.08600000000000001,77.1,,0.119,0.027000000000000003,193.65,,67.4,,29.1,5.75,67.40845959595958
"Robeson County, North Carolina",North Carolina,31.3,68.7,12.1,4.1,73.05,"(20000.0, 25000.0]",24.6,18.15,18.75,2.5,15.85,20.1,28.0,23.95,37.0,0.65,2.3,50.4,22.05,130927,0.483,74.6,0.256,0.407,0.155,853.8,354.1,0.264,0.13,866.55,23.24,100.7,12.8,39.7,30.15,4.858822933035945
"Vance County, North Carolina",North Carolina,27.4,72.6,10.7,3.2,75.5,"(20000.0, 25000.0]",24.8,21.4,24.2,0.6000000000000001,9.6,19.4,42.8,48.95,0.25,0.6000000000000001,0.95,48.0,18.75,44204,0.46299999999999997,76.7,0.275,0.33,0.14400000000000002,1079.3,434.3,0.18899999999999997,0.132,596.2,15.01,84.5,14.3,39.6,28.0,-24.61289343183889
"Benzie County, Michigan",Michigan,10.1,89.9,25.2,10.1,78.8,"(20000.0, 25000.0]",31.0,20.55,24.0,1.2,11.65,11.55,94.7,0.35000000000000003,1.4,0.2,1.55,21.9,5.45,17482,0.406,26.0,0.121,0.316,0.113,269.4,,0.16699999999999998,0.1,118.07,,65.5,,52.2,11.05,14.00058702670971
"Muscogee County, Georgia",Georgia,16.2,83.8,21.6,8.3,71.05,"(25000.0, 30000.0]",33.95,19.75,27.3,0.25,7.3,11.55,45.1,44.85,0.30000000000000004,2.0,2.5,31.75,12.7,189311,0.472,67.9,0.225,0.358,0.125,873.2,487.6,0.187,0.091,544.77,11.38,61.9,13.6,58.3,18.45,-18.590456674473067
"Edmonson County, Kentucky",Kentucky,23.7,76.3,7.2,3.0,66.6,"(20000.0, 25000.0]",23.1,18.15,20.75,1.05,16.15,20.8,96.45,2.1,0.35000000000000003,0.1,0.6000000000000001,22.7,19.55,12051,0.445,44.5,0.298,0.355,0.14,264.7,,0.213,0.094,62.91,,77.8,,60.1,19.45,60.21751574127076
"Sagadahoc County, Maine",Maine,8.2,91.8,29.6,10.9,73.8,"(30000.0, 40000.0]",34.95,15.65,26.05,1.4,10.95,11.0,95.0,0.9,0.2,0.6000000000000001,1.8,15.9,6.9,35902,0.392,26.3,0.16399999999999998,0.25,0.09,318.1,37.4,0.115,0.066,32.72,,42.0,,46.9,8.75,-6.36691979996295
"Winnebago County, Wisconsin",Wisconsin,10.2,89.8,23.7,7.3,79.05,"(25000.0, 30000.0]",30.05,17.9,25.35,0.45,6.85,19.35,91.4,1.6,0.5,2.25,1.15,14.65,7.25,164190,0.429,21.6,0.17600000000000002,0.297,0.092,357.2,47.9,0.092,0.064,211.34,1.66,60.8,6.3,45.4,10.2,7.443068038932616
"Ottawa County, Michigan",Michigan,9.5,90.5,28.8,9.4,80.6,"(25000.0, 30000.0]",32.85,14.75,24.45,1.25,7.55,19.1,86.25,1.2,0.30000000000000004,2.4,1.5,9.45,5.2,261182,0.414,19.3,0.161,0.255,0.08600000000000001,214.4,48.8,0.12,0.068,165.57,1.32,41.6,6.0,45.5,8.1,30.384099583920776
"Union County, Illinois",Illinois,20.9,79.1,17.8,5.9,76.95,"(25000.0, 30000.0]",32.75,17.3,22.3,1.0,10.75,15.9,93.0,0.8,0.35000000000000003,0.45,1.2,26.2,18.75,17943,0.43700000000000006,49.1,,0.31,0.1,310.6,50.0,0.141,0.11,100.61,,67.9,,54.9,21.7,39.828517735494486
"Clay County, Kentucky",Kentucky,41.1,58.9,7.5,4.1,75.8,"(15000.0, 20000.0]",22.75,17.9,25.35,1.15,11.9,20.95,93.7,4.1,0.15,0.25,0.45,46.15,29.45,22761,0.512,65.2,0.363,0.315,0.135,207.2,113.6,0.177,0.127,65.17,,117.1,10.4,49.3,32.95,75.5210643015521
"Payne County, Oklahoma",Oklahoma,10.8,89.2,34.0,14.6,83.85,"(0.0, 15000.0]",34.2,19.55,26.1,0.8,9.45,9.9,81.15,3.7,4.15,3.2,4.5,24.2,7.45,77942,0.485,22.1,0.17500000000000002,0.309,0.085,436.0,55.5,0.21600000000000003,0.048,202.55,,55.5,4.8,39.1,24.15,28.32174132401166
"Boone County, Nebraska",Nebraska,8.2,91.8,15.8,4.9,74.0,"(20000.0, 25000.0]",33.95,18.9,17.15,6.7,10.35,13.0,98.6,0.2,0.1,0.15,0.1,7.25,13.65,5518,0.429,15.6,0.125,0.27899999999999997,0.09300000000000001,147.8,,0.12300000000000001,0.026,,,,,25.6,7.0,65.74816881757936
"Cape May County, New Jersey",New Jersey,11.8,88.2,26.4,8.9,74.1,"(30000.0, 40000.0]",33.65,21.05,25.3,0.6000000000000001,12.35,7.1,87.6,4.9,0.15,0.55,1.45,14.2,6.15,97196,0.45399999999999996,28.9,0.207,0.248,0.11199999999999999,269.1,229.7,0.153,0.134,283.11,2.32,59.8,6.7,62.4,9.2,19.867700258397925
"Terry County, Texas",Texas,31.9,68.1,14.3,3.7,69.55,"(20000.0, 25000.0]",29.65,17.8,22.8,4.4,11.7,13.65,45.7,5.0,0.15,0.15,0.8,42.6,18.65,12402,0.547,99.5,,0.319,0.11199999999999999,433.9,48.5,0.28,0.066,193.87,,84.8,,31.7,19.25,49.4044242768009
"Hampshire County, West Virginia",West Virginia,21.6,78.4,9.4,3.5,75.0,"(20000.0, 25000.0]",19.1,17.0,19.7,1.5,16.25,26.45,96.5,0.8,0.2,0.2,1.45,21.75,16.5,23182,0.418,47.0,0.28800000000000003,0.342,0.104,71.4,43.3,0.22899999999999998,0.075,307.65,,80.5,,24.0,16.2,59.2497370573799
"Pennington County, Minnesota",Minnesota,12.5,87.5,15.4,5.3,74.35,"(25000.0, 30000.0]",26.45,13.15,29.65,1.75,7.95,21.0,93.15,0.8,1.3,0.7000000000000001,1.6,18.3,16.65,13840,0.406,29.2,0.18899999999999997,0.276,0.095,156.3,,0.09300000000000001,0.06,105.35,,69.3,,38.1,11.85,27.79193524209264
"Lawrence County, Alabama",Alabama,24.8,75.2,10.7,3.3,72.0,"(25000.0, 30000.0]",22.1,15.5,21.7,0.6000000000000001,15.4,24.65,77.2,11.75,5.1,0.15,4.05,16.95,11.65,34216,0.39899999999999997,52.1,0.278,0.377,0.141,633.1,84.6,0.177,0.081,227.97,6.67,101.1,7.5,36.7,13.0,48.697257744648844
"Union County, Indiana",Indiana,15.2,84.8,15.2,4.1,78.8,"(25000.0, 30000.0]",25.85,20.9,21.1,1.5,10.2,20.4,97.3,0.25,0.15,0.35000000000000003,0.9,31.0,9.25,7299,0.355,43.2,0.298,0.332,0.115,79.9,,0.16899999999999998,0.08600000000000001,,,67.0,,47.0,12.25,52.64759586122945
"Weakley County, Tennessee",Tennessee,18.0,82.0,18.4,6.7,79.9,"(15000.0, 20000.0]",28.35,17.35,23.95,1.55,7.35,21.5,87.8,7.45,0.25,1.55,1.15,31.65,16.5,34205,0.485,29.0,0.254,0.295,0.109,540.3,39.5,0.17800000000000002,0.118,308.67,,73.5,,29.7,20.45,51.38121546961325
"White County, Illinois",Illinois,15.5,84.5,12.2,4.5,74.35,"(20000.0, 25000.0]",27.2,19.05,21.05,1.35,9.05,22.3,97.15,0.4,0.25,0.2,1.0,32.1,6.15,14718,0.435,51.4,0.265,0.306,0.09699999999999999,122.8,47.8,0.127,0.077,258.01,,86.4,,74.0,14.3,57.99149403210316
"Linn County, Missouri",Missouri,12.1,87.9,14.3,6.7,71.25,"(20000.0, 25000.0]",24.85,17.15,22.35,2.2,9.25,24.1,95.95,1.05,0.1,0.25,1.3,30.55,17.7,12763,0.465,44.8,0.263,0.354,0.105,159.2,94.3,0.161,0.083,184.08,,65.5,,45.6,15.2,51.05886575735822
"Cayuga County, New York",New York,15.2,84.8,18.4,7.2,75.35,"(25000.0, 30000.0]",29.35,17.8,23.35,1.45,10.9,17.15,91.6,3.7,0.30000000000000004,0.5,1.6,28.1,7.05,80010,0.40299999999999997,27.3,0.278,0.248,0.09699999999999999,237.0,329.5,0.11599999999999999,0.081,219.18,,49.2,7.8,53.5,12.25,13.251892178993486
"Bamberg County, South Carolina",South Carolina,23.6,76.4,17.4,5.4,79.5,"(20000.0, 25000.0]",28.0,19.05,19.7,0.35000000000000003,8.45,24.5,35.95,61.5,0.1,0.35000000000000003,0.55,34.55,28.9,15685,0.48200000000000004,34.5,0.17400000000000002,0.42200000000000004,0.16,926.4,699.9,0.187,0.154,660.14,12.34,85.5,,71.7,31.5,-27.26392251815981
"Dickson County, Tennessee",Tennessee,19.4,80.6,14.9,5.4,73.05,"(25000.0, 30000.0]",27.15,16.2,24.6,0.65,15.95,15.45,90.75,4.25,0.2,0.45,1.7000000000000002,26.45,10.25,48403,0.41,52.3,0.261,0.32,0.12300000000000001,379.4,110.2,0.177,0.081,395.7,5.07,90.8,7.9,28.7,13.75,45.62543638219023
"Covington city, Virginia",Virginia,19.1,80.9,10.4,3.9,68.4,"(20000.0, 25000.0]",18.6,19.85,28.85,0.4,11.75,20.55,82.2,13.2,0.30000000000000004,0.7000000000000001,2.15,17.55,5.35,6066,0.441,30.9,,0.29100000000000004,0.115,336.8,178.5,0.155,0.095,292.54,,103.6,,41.9,17.35,18.362178134233865
"Menard County, Illinois",Illinois,9.7,90.3,24.2,8.0,77.45,"(30000.0, 40000.0]",36.05,15.75,26.5,0.30000000000000004,10.25,11.2,97.0,1.15,0.1,0.1,0.65,11.5,9.2,12582,0.377,24.1,,0.289,0.096,259.8,73.9,0.107,0.07400000000000001,184.86,,50.4,,58.2,8.3,37.70823602677877
"Rooks County, Kansas",Kansas,9.6,90.4,20.4,6.6,76.05,"(20000.0, 25000.0]",32.4,16.35,21.0,3.0,12.2,15.05,95.9,0.45,0.30000000000000004,0.4,1.2,32.85,11.5,5156,0.45399999999999996,33.3,0.21600000000000003,0.305,0.11599999999999999,77.2,,0.166,0.047,59.63,,91.6,,78.7,14.9,72.58200168208579
"Benson County, North Dakota",North Dakota,19.8,80.2,9.8,1.3,69.25,"(15000.0, 20000.0]",31.45,23.25,20.35,2.6,8.0,14.4,44.05,0.15,52.55,0.30000000000000004,1.6,51.2,17.7,6774,0.473,98.4,0.34500000000000003,0.355,0.103,1145.3,,0.17400000000000002,0.068,29.78,,138.2,,22.6,34.65,4.3814432989690815
"Morgan County, Missouri",Missouri,21.3,78.7,11.8,3.0,61.95,"(20000.0, 25000.0]",25.95,17.1,22.65,1.75,12.95,19.6,95.7,0.45,0.85,0.35000000000000003,1.25,25.8,9.35,20586,0.41700000000000004,53.1,0.35000000000000003,0.28500000000000003,0.122,146.3,34.2,0.222,0.08800000000000001,250.65,,96.0,10.9,20.3,16.3,56.59671015314804
"Montour County, Pennsylvania",Pennsylvania,12.5,87.5,25.0,11.5,72.95,"(25000.0, 30000.0]",39.25,17.5,18.45,0.5,8.1,16.2,94.45,1.45,0.1,1.75,0.7000000000000001,16.1,7.7,18021,0.451,22.1,0.135,0.302,0.12300000000000001,164.0,94.5,0.105,0.06,346.36,,56.2,,55.3,10.8,28.388986526069132
"Henderson County, Tennessee",Tennessee,21.2,78.8,11.8,4.4,73.45,"(25000.0, 30000.0]",25.85,14.35,22.6,0.35000000000000003,14.0,22.85,88.7,7.55,0.25,0.25,1.65,21.95,22.3,27228,0.42700000000000005,57.3,0.259,0.364,0.115,562.5,78.3,0.16,0.106,602.84,,76.3,9.3,29.6,16.45,62.15100275265434
"Sullivan County, Tennessee",Tennessee,17.9,82.1,20.0,7.0,77.0,"(25000.0, 30000.0]",30.8,16.45,26.4,0.30000000000000004,11.2,14.85,94.8,2.05,0.25,0.6000000000000001,1.05,25.15,10.65,155068,0.465,49.5,0.256,0.33,0.146,257.9,91.5,0.157,0.07,524.34,3.04,74.1,8.3,53.9,16.0,56.24290010023388
"Livingston County, Missouri",Missouri,14.9,85.1,19.0,6.2,71.95,"(20000.0, 25000.0]",29.9,15.4,25.85,2.6,10.1,16.15,94.5,2.55,0.25,0.15,1.35,48.05,20.85,14669,0.42,57.4,0.19899999999999998,0.281,0.11199999999999999,398.0,,0.165,0.065,228.56,,70.9,,48.2,21.5,56.398252184769035
"Yoakum County, Texas",Texas,28.6,71.4,15.0,3.4,71.45,"(25000.0, 30000.0]",25.0,11.8,16.95,7.95,25.5,12.85,41.95,1.05,0.2,0.15,0.35000000000000003,39.05,12.35,7666,0.435,87.2,,0.298,0.092,349.8,,0.278,0.035,144.45,,70.0,,33.8,23.0,59.63462374945628
"Hancock County, Ohio",Ohio,9.3,90.7,24.4,8.6,76.8,"(25000.0, 30000.0]",32.0,13.9,23.4,0.6000000000000001,8.2,21.85,91.25,1.35,0.25,1.65,1.4,23.05,7.5,74420,0.42,32.1,0.188,0.31,0.099,223.8,52.8,0.14,0.061,126.54,1.92,48.2,6.7,44.0,11.5,40.771240345297606
"Nicholas County, Kentucky",Kentucky,24.3,75.7,9.4,4.5,74.25,"(20000.0, 25000.0]",26.45,14.7,19.85,1.85,13.85,23.3,97.2,0.95,0.05,0.25,0.35000000000000003,38.8,20.5,7028,0.412,56.8,0.298,0.314,0.135,183.8,84.8,0.18899999999999997,0.094,75.37,,112.1,,45.9,22.0,41.19718309859155
"Bulloch County, Georgia",Georgia,14.8,85.2,25.2,10.8,84.2,"(15000.0, 20000.0]",31.25,18.9,23.55,0.9,11.65,13.8,66.0,27.9,0.15,1.35,1.5,26.65,12.25,68291,0.478,26.3,0.19399999999999998,0.33,0.10800000000000001,1221.2,290.3,0.258,0.104,370.54,2.61,53.0,10.1,44.9,27.15,23.452445033331948
"Bradley County, Arkansas",Arkansas,30.6,69.4,12.7,3.6,74.45,"(20000.0, 25000.0]",24.75,12.35,19.0,4.9,8.25,30.75,58.6,27.95,0.1,0.1,0.85,53.1,19.15,11737,0.478,73.1,0.141,0.34,0.14,574.8,100.9,0.256,0.10099999999999999,239.51,,72.2,,59.3,32.65,23.16538882803944
"Frederick County, Maryland",Maryland,8.6,91.4,35.8,13.9,79.85,"(40000.0, 100000.0]",43.55,13.5,25.5,0.30000000000000004,10.45,6.65,79.2,8.2,0.25,3.65,2.25,7.05,5.55,228785,0.376,21.5,0.149,0.267,0.08800000000000001,220.5,149.7,0.099,0.057999999999999996,302.43,2.46,47.2,5.8,45.4,4.8,3.9847949757311127
"Johnson County, Kansas",Kansas,4.4,95.6,51.1,17.9,81.55,"(30000.0, 40000.0]",48.0,12.2,27.5,0.1,5.4,6.8,83.3,4.0,0.25,3.95,2.05,8.2,4.75,534643,0.42700000000000005,18.4,0.126,0.23199999999999998,0.067,237.1,126.7,0.099,0.05,176.31,1.75,37.5,5.5,58.8,5.35,2.7106054269301794
"Langlade County, Wisconsin",Wisconsin,12.7,87.3,12.9,4.3,72.2,"(20000.0, 25000.0]",23.95,16.5,21.95,3.2,11.0,23.45,96.0,0.4,0.75,0.35000000000000003,1.15,24.55,8.75,20116,0.408,36.2,0.23199999999999998,0.294,0.094,80.9,29.2,0.115,0.08700000000000001,151.33,,77.1,,33.2,11.45,31.46735361141385
"Crook County, Wyoming",Wyoming,8.1,91.9,22.8,7.5,73.95,"(25000.0, 30000.0]",32.45,13.6,17.4,4.0,19.1,13.4,97.2,0.1,0.4,0.1,0.6000000000000001,26.2,7.4,6710,0.34900000000000003,40.7,0.188,0.24,0.07200000000000001,84.4,,0.184,0.051,58.97,,103.6,,39.8,8.95,81.56987536462475
"Randolph County, Arkansas",Arkansas,22.2,77.8,11.1,3.0,77.85,"(20000.0, 25000.0]",28.55,14.7,21.45,1.7000000000000002,12.45,21.25,95.6,0.85,0.4,0.30000000000000004,1.4,17.85,22.5,18013,0.49,57.4,0.192,0.342,0.12300000000000001,266.4,59.5,0.205,0.099,30.41,,84.2,,64.4,19.4,48.338037002195065
"Pierce County, Georgia",Georgia,22.6,77.4,8.8,3.9,74.0,"(20000.0, 25000.0]",24.3,17.7,22.05,3.35,13.25,19.4,85.05,9.7,0.25,0.25,0.8,22.4,16.4,18294,0.42700000000000005,76.3,0.165,0.306,0.132,277.0,108.3,0.228,0.092,130.12,,79.1,,51.0,16.65,73.97560641359463
"Appanoose County, Iowa",Iowa,12.9,87.1,16.6,5.3,74.5,"(20000.0, 25000.0]",29.2,16.65,23.35,1.75,7.85,21.25,96.8,0.35000000000000003,0.1,0.5,0.95,33.8,12.15,12931,0.451,49.1,0.276,0.30000000000000004,0.09,242.2,,0.12300000000000001,0.069,308.44,,81.3,,50.8,16.35,36.384514435695536
"Clay County, Kansas",Kansas,8.8,91.2,18.9,6.1,73.55,"(25000.0, 30000.0]",35.55,13.7,24.05,1.05,13.3,12.35,95.8,0.7000000000000001,0.8,0.2,0.7000000000000001,14.45,6.45,8598,0.441,41.3,0.179,0.317,0.09699999999999999,151.6,,0.132,0.044000000000000004,203.86,,114.9,,78.2,8.05,58.11644754494232
"Baldwin County, Alabama",Alabama,12.4,87.6,26.8,8.7,74.95,"(25000.0, 30000.0]",31.1,17.4,27.4,0.85,12.35,10.9,84.3,9.55,0.6000000000000001,0.65,1.25,20.9,5.2,177131,0.439,46.4,0.206,0.266,0.118,301.5,188.1,0.166,0.068,213.3,4.18,76.2,6.4,43.0,12.05,57.78616218514189
"Edgecombe County, North Carolina",North Carolina,23.3,76.7,10.1,2.4,74.55,"(20000.0, 25000.0]",20.25,19.95,22.75,1.2,10.1,25.75,38.15,56.55,0.2,0.15,0.95,46.65,15.6,54569,0.452,65.8,0.209,0.37,0.147,1192.0,636.6,0.184,0.147,605.71,12.2,69.3,12.3,46.6,23.3,-32.178639516488886
"Greenup County, Kentucky",Kentucky,19.9,80.1,14.9,7.1,75.9,"(25000.0, 30000.0]",32.6,14.85,26.05,0.30000000000000004,12.35,13.85,97.05,0.6000000000000001,0.15,0.5,0.95,26.95,9.8,37213,0.442,43.4,0.228,0.36700000000000005,0.154,162.8,35.2,0.17600000000000002,0.08,73.64,,73.6,6.7,34.4,15.3,45.47409819947153
"Middlesex County, Massachusetts",Massachusetts,8.4,91.6,49.3,23.7,82.4,"(40000.0, 100000.0]",51.0,13.55,22.25,0.1,6.1,6.95,78.25,4.1,0.1,8.75,2.75,8.15,8.0,1491672,0.461,11.8,0.114,0.233,0.08700000000000001,223.7,249.9,0.045,0.053,277.72,1.49,37.1,4.0,63.4,7.5,-38.152206918211945
"Pine County, Minnesota",Minnesota,14.1,85.9,12.9,4.1,72.35,"(20000.0, 25000.0]",24.85,23.35,21.65,1.55,12.15,16.35,91.2,1.5,2.85,0.35000000000000003,1.75,23.7,10.1,28962,0.397,37.2,0.18600000000000003,0.28400000000000003,0.07400000000000001,141.9,91.5,0.125,0.081,137.08,,70.0,,32.9,13.8,26.301988491514315
