County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Gini.Coefficient,Teen.births,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,target
"Evans County, Georgia",Georgia,26.7,73.3,13.4,5.8,71.95,"(20000.0, 25000.0]",26.8,11.85,25.0,3.95,11.0,21.35,57.5,29.35,0.30000000000000004,0.35000000000000003,0.95,49.75,17.55,11223,0.423,92.0,0.299,0.34800000000000003,0.141,677.8,482.2,0.264,0.08800000000000001,280.52,,83.9,,69.9,22.35,35.3692393114936
"Douglas County, Kansas",Kansas,4.9,95.1,48.3,21.1,83.9,"(15000.0, 20000.0]",41.45,18.2,24.95,0.30000000000000004,6.6,8.4,82.8,3.8,2.3,3.65,2.95,18.25,6.4,112275,0.474,12.8,0.156,0.251,0.057999999999999996,409.1,89.1,0.147,0.053,403.0,1.99,45.3,6.3,57.5,19.9,-32.71962016130705
"Highlands County, Florida",Florida,21.2,78.8,14.6,5.0,71.45,"(20000.0, 25000.0]",25.2,20.75,26.35,5.2,13.05,9.5,71.5,8.85,0.35000000000000003,1.35,1.2,32.5,9.45,98262,0.413,56.2,0.18600000000000003,0.302,0.13699999999999998,283.9,233.6,0.28,0.09300000000000001,286.1,4.39,73.9,6.6,47.2,16.65,32.04281734628968
"Otsego County, Michigan",Michigan,10.8,89.2,19.4,6.4,73.95,"(20000.0, 25000.0]",25.9,20.55,29.3,0.45,10.65,13.1,96.0,0.15,0.35000000000000003,0.4,1.95,23.35,7.35,24048,0.419,31.0,0.24100000000000002,0.317,0.114,103.8,52.8,0.14,0.109,174.84,,78.5,,34.7,12.9,37.59278473940458
"Robertson County, Texas",Texas,23.4,76.6,15.8,4.2,79.5,"(20000.0, 25000.0]",27.3,21.65,22.7,2.3,12.25,13.85,59.1,21.25,0.15,0.8,1.2,35.75,17.75,16226,0.478,70.4,,0.314,0.125,579.5,139.7,0.268,0.077,302.43,,96.5,,78.2,21.25,35.121255349500714
"Clay County, West Virginia",West Virginia,27.0,73.0,8.3,4.2,75.55,"(25000.0, 30000.0]",24.6,15.9,23.45,0.2,19.6,16.25,98.05,0.30000000000000004,0.1,0.05,1.35,39.1,17.6,9723,0.46,67.0,0.222,0.38299999999999995,0.146,85.5,,0.191,0.12300000000000001,,,100.2,,56.1,24.45,58.248816768086556
"Cass County, Nebraska",Nebraska,6.2,93.8,23.5,7.3,81.95,"(30000.0, 40000.0]",32.7,15.7,24.95,1.05,12.5,13.1,95.5,0.35000000000000003,0.25,0.4,1.15,5.55,6.45,25368,0.36700000000000005,20.0,0.18600000000000003,0.318,0.092,131.0,61.8,0.1,0.046,61.14,,62.6,,51.6,4.9,39.075263700531366
"Taylor County, Texas",Texas,15.9,84.1,24.2,7.3,72.6,"(20000.0, 25000.0]",31.8,20.95,25.85,0.4,10.45,10.55,68.0,6.55,0.45,1.5,2.0,30.4,9.4,129046,0.449,59.2,0.21,0.28200000000000003,0.104,492.6,136.9,0.21600000000000003,0.053,430.31,4.55,60.1,9.1,36.3,16.65,51.086908496443264
"Chaves County, New Mexico",New Mexico,23.7,76.3,15.7,5.5,71.2,"(20000.0, 25000.0]",26.1,22.25,26.2,2.9,11.45,11.1,45.25,1.1,0.65,0.65,2.05,29.2,14.8,64005,0.436,72.4,0.21899999999999997,0.306,0.102,607.1,73.7,0.261,0.066,622.65,13.94,102.1,7.7,38.0,21.1,36.22229899807511
"Elbert County, Colorado",Colorado,3.9,96.1,29.2,9.6,83.35,"(30000.0, 40000.0]",38.65,14.5,24.1,0.9,12.45,9.45,90.55,0.75,0.65,0.6000000000000001,1.9,3.8,3.95,22936,0.374,12.5,0.152,0.20199999999999999,0.051,151.0,41.4,0.136,0.07200000000000001,48.63,,55.5,,66.8,3.85,54.05060870673721
